"Step","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MAX","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MIN","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MAX"
"29","3.2602381706237793","3.2602381706237793","3.2602381706237793","3.1708803176879883","3.1708803176879883","3.1708803176879883","3.97784161567688","3.97784161567688","3.97784161567688","-0.5383028984069824","-0.5383028984069824","-0.5383028984069824","3.3166391849517822","3.3166391849517822","3.3166391849517822","-0.5679227709770203","-0.5679227709770203","-0.5679227709770203","-0.6152321100234985","-0.6152321100234985","-0.6152321100234985"
"30","3.0120956897735596","3.0120956897735596","3.0120956897735596","2.871159315109253","2.871159315109253","2.871159315109253","3.768373966217041","3.768373966217041","3.768373966217041","-0.363533079624176","-0.363533079624176","-0.363533079624176","3.0462608337402344","3.0462608337402344","3.0462608337402344","-0.42110514640808105","-0.42110514640808105","-0.42110514640808105","-0.4861632287502289","-0.4861632287502289","-0.4861632287502289"
"31","3.38790225982666","3.38790225982666","3.38790225982666","3.250824451446533","3.250824451446533","3.250824451446533","4.33029317855835","4.33029317855835","4.33029317855835","-0.4534187912940979","-0.4534187912940979","-0.4534187912940979","3.4282922744750977","3.4282922744750977","3.4282922744750977","-0.5892624855041504","-0.5892624855041504","-0.5892624855041504","-0.6184225082397461","-0.6184225082397461","-0.6184225082397461"
"32","3.1268510818481445","3.1268510818481445","3.1268510818481445","3.0406525135040283","3.0406525135040283","3.0406525135040283","4.0344743728637695","4.0344743728637695","4.0344743728637695","-0.5304296016693115","-0.5304296016693115","-0.5304296016693115","3.1614999771118164","3.1614999771118164","3.1614999771118164","-0.5806592702865601","-0.5806592702865601","-0.5806592702865601","-0.6251157522201538","-0.6251157522201538","-0.6251157522201538"
"33","2.8549654483795166","2.8549654483795166","2.8549654483795166","2.7801904678344727","2.7801904678344727","2.7801904678344727","3.8340392112731934","3.8340392112731934","3.8340392112731934","-0.37163132429122925","-0.37163132429122925","-0.37163132429122925","2.855178117752075","2.855178117752075","2.855178117752075","-0.4536619782447815","-0.4536619782447815","-0.4536619782447815","-0.4868246912956238","-0.4868246912956238","-0.4868246912956238"
"34","2.883361577987671","2.883361577987671","2.883361577987671","2.796757459640503","2.796757459640503","2.796757459640503","3.8609888553619385","3.8609888553619385","3.8609888553619385","-0.39874157309532166","-0.39874157309532166","-0.39874157309532166","2.874523878097534","2.874523878097534","2.874523878097534","-0.4665836691856384","-0.4665836691856384","-0.4665836691856384","-0.5039717555046082","-0.5039717555046082","-0.5039717555046082"
"35","3.0128672122955322","3.0128672122955322","3.0128672122955322","2.8932690620422363","2.8932690620422363","2.8932690620422363","4.241168022155762","4.241168022155762","4.241168022155762","-0.4619949460029602","-0.4619949460029602","-0.4619949460029602","2.9899423122406006","2.9899423122406006","2.9899423122406006","-0.5408631563186646","-0.5408631563186646","-0.5408631563186646","-0.5782575607299805","-0.5782575607299805","-0.5782575607299805"
"36","2.8606090545654297","2.8606090545654297","2.8606090545654297","2.806079864501953","2.806079864501953","2.806079864501953","3.996284246444702","3.996284246444702","3.996284246444702","-0.4885439872741699","-0.4885439872741699","-0.4885439872741699","2.827775239944458","2.827775239944458","2.827775239944458","-0.5641810297966003","-0.5641810297966003","-0.5641810297966003","-0.5957702398300171","-0.5957702398300171","-0.5957702398300171"
"37","3.410067319869995","3.410067319869995","3.410067319869995","3.289789915084839","3.289789915084839","3.289789915084839","4.148326873779297","4.148326873779297","4.148326873779297","-0.3892258107662201","-0.3892258107662201","-0.3892258107662201","3.4401323795318604","3.4401323795318604","3.4401323795318604","-0.46930986642837524","-0.46930986642837524","-0.46930986642837524","-0.5183917880058289","-0.5183917880058289","-0.5183917880058289"
"38","2.857851266860962","2.857851266860962","2.857851266860962","2.8300399780273438","2.8300399780273438","2.8300399780273438","4.238370895385742","4.238370895385742","4.238370895385742","-0.4876905083656311","-0.4876905083656311","-0.4876905083656311","2.826749324798584","2.826749324798584","2.826749324798584","-0.5331271290779114","-0.5331271290779114","-0.5331271290779114","-0.5848715305328369","-0.5848715305328369","-0.5848715305328369"
"39","2.735485553741455","2.735485553741455","2.735485553741455","2.742652654647827","2.742652654647827","2.742652654647827","4.093236923217773","4.093236923217773","4.093236923217773","-0.6553663611412048","-0.6553663611412048","-0.6553663611412048","2.728459119796753","2.728459119796753","2.728459119796753","-0.6947365999221802","-0.6947365999221802","-0.6947365999221802","-0.7590025663375854","-0.7590025663375854","-0.7590025663375854"
"40","2.598255157470703","2.598255157470703","2.598255157470703","2.472417116165161","2.472417116165161","2.472417116165161","3.9337215423583984","3.9337215423583984","3.9337215423583984","-0.45600301027297974","-0.45600301027297974","-0.45600301027297974","2.5800905227661133","2.5800905227661133","2.5800905227661133","-0.4764379560947418","-0.4764379560947418","-0.4764379560947418","-0.5429497957229614","-0.5429497957229614","-0.5429497957229614"
"41","2.6831932067871094","2.6831932067871094","2.6831932067871094","2.6453535556793213","2.6453535556793213","2.6453535556793213","3.9788718223571777","3.9788718223571777","3.9788718223571777","-0.3436553478240967","-0.3436553478240967","-0.3436553478240967","2.6554160118103027","2.6554160118103027","2.6554160118103027","-0.419009268283844","-0.419009268283844","-0.419009268283844","-0.464783638715744","-0.464783638715744","-0.464783638715744"
"42","2.0703799724578857","2.0703799724578857","2.0703799724578857","2.0944371223449707","2.0944371223449707","2.0944371223449707","3.026873826980591","3.026873826980591","3.026873826980591","-0.5586669445037842","-0.5586669445037842","-0.5586669445037842","2.0566487312316895","2.0566487312316895","2.0566487312316895","-0.6054196953773499","-0.6054196953773499","-0.6054196953773499","-0.6320545673370361","-0.6320545673370361","-0.6320545673370361"
"43","2.2868130207061768","2.2868130207061768","2.2868130207061768","2.32473087310791","2.32473087310791","2.32473087310791","3.576484441757202","3.576484441757202","3.576484441757202","-0.5405195951461792","-0.5405195951461792","-0.5405195951461792","2.3023641109466553","2.3023641109466553","2.3023641109466553","-0.6140764355659485","-0.6140764355659485","-0.6140764355659485","-0.6627908945083618","-0.6627908945083618","-0.6627908945083618"
"44","2.450834035873413","2.450834035873413","2.450834035873413","2.3957836627960205","2.3957836627960205","2.3957836627960205","4.082551002502441","4.082551002502441","4.082551002502441","-0.34891632199287415","-0.34891632199287415","-0.34891632199287415","2.365889549255371","2.365889549255371","2.365889549255371","-0.40187132358551025","-0.40187132358551025","-0.40187132358551025","-0.44296225905418396","-0.44296225905418396","-0.44296225905418396"
"45","2.090846061706543","2.090846061706543","2.090846061706543","2.0904641151428223","2.0904641151428223","2.0904641151428223","3.8443846702575684","3.8443846702575684","3.8443846702575684","-0.7524694204330444","-0.7524694204330444","-0.7524694204330444","2.0522799491882324","2.0522799491882324","2.0522799491882324","-0.8108711242675781","-0.8108711242675781","-0.8108711242675781","-0.8341686725616455","-0.8341686725616455","-0.8341686725616455"
"46","2.4287917613983154","2.4287917613983154","2.4287917613983154","2.409196376800537","2.409196376800537","2.409196376800537","3.7719743251800537","3.7719743251800537","3.7719743251800537","-0.2917897403240204","-0.2917897403240204","-0.2917897403240204","2.422523260116577","2.422523260116577","2.422523260116577","-0.33284443616867065","-0.33284443616867065","-0.33284443616867065","-0.37607264518737793","-0.37607264518737793","-0.37607264518737793"
"47","2.3597264289855957","2.3597264289855957","2.3597264289855957","2.286036252975464","2.286036252975464","2.286036252975464","4.052456378936768","4.052456378936768","4.052456378936768","-0.2641616463661194","-0.2641616463661194","-0.2641616463661194","2.319420099258423","2.319420099258423","2.319420099258423","-0.48661190271377563","-0.48661190271377563","-0.48661190271377563","-0.5330216884613037","-0.5330216884613037","-0.5330216884613037"
"48","2.0519731044769287","2.0519731044769287","2.0519731044769287","2.1260223388671875","2.1260223388671875","2.1260223388671875","3.533822536468506","3.533822536468506","3.533822536468506","-0.6799691915512085","-0.6799691915512085","-0.6799691915512085","2.0904996395111084","2.0904996395111084","2.0904996395111084","-0.7150875926017761","-0.7150875926017761","-0.7150875926017761","-0.7724413871765137","-0.7724413871765137","-0.7724413871765137"
"49","2.161534547805786","2.161534547805786","2.161534547805786","2.1918997764587402","2.1918997764587402","2.1918997764587402","3.645895481109619","3.645895481109619","3.645895481109619","-0.5333882570266724","-0.5333882570266724","-0.5333882570266724","2.176863193511963","2.176863193511963","2.176863193511963","-0.6591864824295044","-0.6591864824295044","-0.6591864824295044","-0.7177046537399292","-0.7177046537399292","-0.7177046537399292"
"50","2.2799594402313232","2.2799594402313232","2.2799594402313232","2.184619426727295","2.184619426727295","2.184619426727295","3.655470132827759","3.655470132827759","3.655470132827759","-0.435756117105484","-0.435756117105484","-0.435756117105484","2.289945125579834","2.289945125579834","2.289945125579834","-0.5275955200195312","-0.5275955200195312","-0.5275955200195312","-0.5614227056503296","-0.5614227056503296","-0.5614227056503296"
"51","2.297311544418335","2.297311544418335","2.297311544418335","2.3966095447540283","2.3966095447540283","2.3966095447540283","3.813271999359131","3.813271999359131","3.813271999359131","-0.5215244293212891","-0.5215244293212891","-0.5215244293212891","2.2809150218963623","2.2809150218963623","2.2809150218963623","-0.641095757484436","-0.641095757484436","-0.641095757484436","-0.6692808866500854","-0.6692808866500854","-0.6692808866500854"
"52","2.0634243488311768","2.0634243488311768","2.0634243488311768","1.9485450983047485","1.9485450983047485","1.9485450983047485","3.9051780700683594","3.9051780700683594","3.9051780700683594","-0.30562567710876465","-0.30562567710876465","-0.30562567710876465","1.9913462400436401","1.9913462400436401","1.9913462400436401","-0.3616546094417572","-0.3616546094417572","-0.3616546094417572","-0.4008522033691406","-0.4008522033691406","-0.4008522033691406"
"53","1.9124152660369873","1.9124152660369873","1.9124152660369873","1.8255690336227417","1.8255690336227417","1.8255690336227417","3.738483428955078","3.738483428955078","3.738483428955078","-0.5447189807891846","-0.5447189807891846","-0.5447189807891846","1.8480703830718994","1.8480703830718994","1.8480703830718994","-0.5522827506065369","-0.5522827506065369","-0.5522827506065369","-0.5980567932128906","-0.5980567932128906","-0.5980567932128906"
"54","1.8617299795150757","1.8617299795150757","1.8617299795150757","1.8745808601379395","1.8745808601379395","1.8745808601379395","3.464085340499878","3.464085340499878","3.464085340499878","-0.6524695158004761","-0.6524695158004761","-0.6524695158004761","1.8766764402389526","1.8766764402389526","1.8766764402389526","-0.6731200218200684","-0.6731200218200684","-0.6731200218200684","-0.7038280963897705","-0.7038280963897705","-0.7038280963897705"
"55","2.3053250312805176","2.3053250312805176","2.3053250312805176","2.284644603729248","2.284644603729248","2.284644603729248","3.7855961322784424","3.7855961322784424","3.7855961322784424","-0.49251124262809753","-0.49251124262809753","-0.49251124262809753","2.2861268520355225","2.2861268520355225","2.2861268520355225","-0.5591194033622742","-0.5591194033622742","-0.5591194033622742","-0.603309690952301","-0.603309690952301","-0.603309690952301"
"56","2.1533138751983643","2.1533138751983643","2.1533138751983643","2.2054760456085205","2.2054760456085205","2.2054760456085205","3.6500091552734375","3.6500091552734375","3.6500091552734375","-0.49326369166374207","-0.49326369166374207","-0.49326369166374207","2.1584317684173584","2.1584317684173584","2.1584317684173584","-0.7264432907104492","-0.7264432907104492","-0.7264432907104492","-0.7424437403678894","-0.7424437403678894","-0.7424437403678894"
"57","1.7577000856399536","1.7577000856399536","1.7577000856399536","1.7954013347625732","1.7954013347625732","1.7954013347625732","3.2855024337768555","3.2855024337768555","3.2855024337768555","-0.6644389629364014","-0.6644389629364014","-0.6644389629364014","1.8049631118774414","1.8049631118774414","1.8049631118774414","-0.7490634918212891","-0.7490634918212891","-0.7490634918212891","-0.7794679403305054","-0.7794679403305054","-0.7794679403305054"
